sample_id,omega_scale_h,omega_scale_l
PROseq-K562-dukler-control-SE,18.6666733775619,2.44117647058824
PROseq-K562-dukler-treated-SE,14.7893300741825,1.93410812213895
PROseq-K562-vihervaara-control-SE,12.3768278981277,1.62776148862949
PROseq-K562-vihervaara-treated-SE,11.0318379571379,1.45087264065025
